[685611.661883] cpu=0	jifd=27	cycled=135405	insd=291088	cml2=856	bmd=8735
[685611.769860] cpu=0	jifd=27	cycled=125325	insd=205714	cml2=509	bmd=5262
[685611.877861] cpu=0	jifd=27	cycled=134941	insd=288971	cml2=670	bmd=8630
[685611.985866] cpu=0	jifd=27	cycled=126739	insd=221858	cml2=582	bmd=6207
[685612.093868] cpu=0	jifd=27	cycled=142980	insd=367907	cml2=753	bmd=12834
[685612.201867] cpu=0	jifd=27	cycled=141624	insd=329476	cml2=694	bmd=10404
[685612.309855] cpu=0	jifd=27	cycled=149918	insd=406419	cml2=732	bmd=14020
[685612.417864] cpu=0	jifd=27	cycled=141761	insd=355171	cml2=780	bmd=11640
[685612.525877] cpu=0	jifd=27	cycled=284865	insd=318182	cml2=833	bmd=10429
[685612.633864] cpu=0	jifd=27	cycled=153717	insd=354138	cml2=938	bmd=11379
[685612.741856] cpu=0	jifd=27	cycled=137740	insd=313352	cml2=734	bmd=9644
[685612.849864] cpu=0	jifd=27	cycled=129173	insd=275966	cml2=540	bmd=8427
[685612.957866] cpu=0	jifd=27	cycled=138072	insd=328504	cml2=727	bmd=10474
[685613.065859] cpu=0	jifd=27	cycled=165948	insd=528212	cml2=2254	bmd=18418
[685613.173875] cpu=0	jifd=27	cycled=161391	insd=504893	cml2=1707	bmd=16850
[685613.281867] cpu=0	jifd=27	cycled=129613	insd=230506	cml2=302	bmd=6983
[685613.389869] cpu=0	jifd=27	cycled=145997	insd=388677	cml2=981	bmd=13205
[685613.497864] cpu=0	jifd=27	cycled=139173	insd=313357	cml2=819	bmd=9503
[685613.605875] cpu=0	jifd=27	cycled=304453	insd=515403	cml2=1428	bmd=16932
[685613.713857] cpu=0	jifd=27	cycled=157902	insd=377848	cml2=1111	bmd=12016
[685613.821861] cpu=0	jifd=27	cycled=126213	insd=185253	cml2=397	bmd=4465
[685613.929856] cpu=0	jifd=27	cycled=150381	insd=427620	cml2=829	bmd=14099
[685614.037852] cpu=0	jifd=27	cycled=134813	insd=293210	cml2=849	bmd=9169
[685614.145850] cpu=0	jifd=27	cycled=134690	insd=293442	cml2=688	bmd=9315
[685614.253864] cpu=0	jifd=27	cycled=139031	insd=331907	cml2=694	bmd=11089
[685614.361872] cpu=0	jifd=27	cycled=141380	insd=328979	cml2=756	bmd=10502
[685614.469858] cpu=0	jifd=27	cycled=139644	insd=313085	cml2=772	bmd=9638
[685614.577859] cpu=0	jifd=27	cycled=132378	insd=268632	cml2=558	bmd=7813
[685614.685893] cpu=0	jifd=27	cycled=287634	insd=356221	cml2=856	bmd=11295
[685614.793857] cpu=0	jifd=27	cycled=145967	insd=298366	cml2=806	bmd=9340
[685614.901848] cpu=0	jifd=27	cycled=137358	insd=338693	cml2=700	bmd=10942
[685615.009857] cpu=0	jifd=27	cycled=140295	insd=335330	cml2=784	bmd=10473
[685615.117863] cpu=0	jifd=27	cycled=136395	insd=299831	cml2=779	bmd=9811
[685615.225857] cpu=0	jifd=27	cycled=140182	insd=336091	cml2=754	bmd=11307
[685615.333847] cpu=0	jifd=27	cycled=135857	insd=301252	cml2=636	bmd=9752
[685615.441861] cpu=0	jifd=27	cycled=145819	insd=399328	cml2=961	bmd=14058
[685615.553844] cpu=0	jifd=28	cycled=142864	insd=343783	cml2=787	bmd=11230
[685615.661877] cpu=0	jifd=27	cycled=136272	insd=298315	cml2=765	bmd=9625
